year,gdp_growth_rate,gdp,gdp_per_capita,capital_investment,household_consumption,inflation,exports,imports,foreign_investments,net_equity_inflow,current_account_balance,trade_balance,foreign_exchange_reserves,net_payment_error_balance,country_id,government spending as percent of gdp,gov_spend,gov_debt,tax_revenue,foreign_aid_assistance,economic_growth_forecast,investment_forecast,inflation_forecast,liability_liquid,assets_bank,credit_bank_to_gov,population,population_growth,life_expectancy,globalization_index,economic_gi,political_gi,social_gi,energy,income_natural_resources,electricity_access,renewable_pg,fossil_pg,wind_pg,solar_pg,hydro_pg,nuclear_pg,geo_pg,labour_force,unemplyment_rate,s&p,moodys,fitch,yield
2019,0.41,2009.38,33641.63,365.02,1203.22,0.6,635.62,569.06,31.19,17063.06,64.57,67.02,175.4,-11294.25,86,18.64,374.59,134.1,24.59,,0.5,18.24,0.48,99.11,108.99,35.73,59.73,-1.15,83.2,82.92,71.59,97.68,79.5,,0.09,100.0,117.05,165.7,20.2,23.71,45.32,0.0,6.08,25.79,9.95,BB+,Baa2,BBB-,1.37
2020,-8.94,1888.71,31714.22,332.11,1092.43,-0.1,555.04,485.36,,-4138.67,72.21,70.64,210.69,1396.53,86,20.89,394.48,155.3,,,-9.03,17.7,-0.29,119.0,123.43,,59.55,-0.29,,,,,,,,100.0,117.28,152.36,18.7,24.94,45.44,0.0,6.03,25.08,9.16,BB+,Baa2,BBB-,0.58
1976,-6.69,2.97,1443.05,0.54,2.07,9.8,0.86,1.12,-0.0,0.0,-0.26,-0.24,0.03,4.8,88,20.85,0.62,,,19.68,,,,38.55,34.49,,2.06,1.34,69.72,45.69,44.87,38.34,53.87,1183.22,7.11,,,,,,,,,,,B,B2,B-,
1977,-2.6,3.25,1561.74,0.4,2.13,11.2,0.97,0.92,-0.01,0.0,-0.01,0.03,0.05,-30.6,88,20.73,0.67,,,24.76,,,,39.36,35.28,,2.08,1.23,70.01,45.73,42.81,41.26,53.11,1141.61,8.83,,,,,,,,,,,B,B2,B-,
1978,-0.05,2.64,1255.73,0.4,1.63,34.9,1.07,0.99,-0.03,0.0,-0.02,0.07,0.06,7.6,88,20.06,0.53,,,113.74,,,,36.41,32.83,,2.11,1.2,70.29,48.27,48.88,42.41,53.51,1172.3,11.17,,,,,,,,,,,B,B2,B-,
1979,-1.06,2.43,1137.03,0.47,1.51,29.1,1.21,1.23,-0.03,0.0,-0.11,-0.05,0.07,-36.7,88,19.28,0.47,,,114.39,,,,36.13,33.26,,2.13,1.27,70.55,49.83,53.04,42.78,53.66,1198.08,11.33,,,,,,,,,,,B,B2,B-,
1980,-5.71,2.68,1238.84,0.43,1.71,27.3,1.37,1.37,0.03,0.0,-0.14,-0.04,0.11,-58.4,88,20.24,0.54,,,110.79,-4.04,12.01,28.7,42.66,32.97,12.86,2.16,1.4,70.79,50.86,55.34,43.56,53.69,1053.45,10.99,,0.17,1.56,0.0,0.0,0.12,0.0,0.0,,,B,B2,B-,
1981,2.64,2.98,1356.02,0.6,2.02,12.7,1.41,1.66,-0.01,0.0,-0.31,-0.3,0.09,-27.11,88,20.63,0.61,,,136.56,4.42,14.69,4.79,45.34,41.03,16.66,2.2,1.56,71.01,50.65,54.1,44.53,53.32,1056.96,10.89,,0.17,1.58,0.0,0.0,0.12,0.0,0.0,,,B,B2,B-,
1982,2.07,3.29,1474.24,0.69,2.23,6.5,1.25,1.6,-0.02,0.0,-0.38,-0.38,0.11,-7.28,88,21.95,0.72,,,162.61,3.08,14.94,7.0,56.05,49.32,18.28,2.23,1.68,71.22,49.96,52.59,44.1,53.2,1024.5,8.52,,0.19,1.62,0.0,0.0,0.13,0.0,0.0,,,B,B2,B-,
1983,1.91,3.62,1593.19,0.81,2.35,11.6,1.29,1.56,-0.02,0.0,-0.34,-0.3,0.06,-20.9,88,20.11,0.73,,,171.11,4.15,15.92,16.66,60.16,50.46,16.55,2.27,1.67,71.42,49.31,49.68,45.53,52.71,881.08,6.47,,0.2,1.82,0.0,0.0,0.15,0.0,0.0,,,B,B2,B-,
1984,-1.54,2.37,1029.14,0.55,1.58,27.8,1.32,1.46,0.01,0.0,-0.31,-0.19,0.1,-84.03,88,16.47,0.39,,,165.36,0.95,16.81,31.16,51.12,41.22,12.31,2.31,1.51,71.61,50.25,55.97,42.62,52.17,869.85,11.04,,0.13,1.79,0.0,0.0,0.08,0.0,0.0,,,B,B2,B-,
1985,-2.94,2.1,899.26,0.51,1.48,25.7,1.17,1.38,-0.01,0.0,-0.27,-0.24,0.16,-13.95,88,14.89,0.31,,,165.92,-0.9,16.33,23.11,54.4,39.75,14.95,2.34,1.26,71.82,51.37,58.65,43.07,52.39,738.36,8.63,,0.12,1.53,0.0,0.0,0.08,0.0,0.0,,,B,B2,B-,
1986,1.88,2.75,1168.1,0.47,1.81,15.1,1.35,1.26,-0.0,0.0,-0.02,0.09,0.1,57.78,88,14.25,0.39,,,174.48,7.0,16.46,10.72,62.11,38.64,16.73,2.36,0.97,72.06,49.4,52.54,43.49,52.17,743.05,6.61,,0.16,1.55,0.0,0.0,0.12,0.0,0.0,,,B,B2,B-,
1987,7.85,3.29,1383.76,0.68,2.14,6.7,1.53,1.52,0.05,0.0,-0.12,0.03,0.17,67.73,88,13.85,0.46,,,160.73,7.7,17.88,8.36,61.09,41.79,17.28,2.38,0.73,72.32,49.99,52.57,46.29,51.11,757.47,4.96,,0.19,1.71,0.0,0.0,0.12,0.0,0.0,,,B,B2,B-,
1988,3.97,3.83,1602.2,0.9,2.53,8.3,1.67,1.83,-0.01,0.0,0.05,-0.14,0.15,-61.09,88,14.36,0.55,,23.48,184.81,-3.99,20.69,8.55,72.65,44.08,14.79,2.39,0.59,72.6,49.51,50.92,44.94,52.68,767.76,4.16,,0.18,1.72,0.0,0.0,0.1,0.0,0.0,,,B,B2,B-,
1989,7.17,4.4,1832.76,1.17,3.05,14.3,1.92,2.31,0.06,0.0,-0.28,-0.43,0.11,8.31,88,12.92,0.57,,24.49,258.91,4.7,19.79,17.18,66.42,43.15,9.06,2.4,0.59,72.9,52.41,50.59,53.81,52.83,957.27,5.69,,0.21,1.91,0.0,0.0,0.13,0.0,0.0,,,B,B2,B-,
1990,4.2,4.59,1897.69,1.19,2.98,22.0,2.21,2.38,0.14,0.0,-0.31,-0.17,0.17,-12.9,88,13.04,0.6,,23.49,271.58,4.88,17.59,29.81,61.95,38.22,6.55,2.42,0.68,73.2,52.36,51.93,53.32,51.84,1150.72,6.34,70.33,0.21,2.21,0.0,0.0,0.11,0.0,0.0,1.13,,B,B2,B-,
1991,4.84,4.11,1683.33,1.0,2.7,51.1,2.06,2.11,0.13,0.0,-0.24,-0.07,0.11,-38.1,88,11.6,0.48,,23.08,164.01,0.83,16.14,80.19,60.52,34.0,4.91,2.44,0.8,73.49,50.77,52.56,47.69,52.05,1145.84,8.08,77.23,0.17,1.88,0.0,0.0,0.12,0.0,0.0,1.14,15.74,B,B2,B-,
1992,1.96,3.54,1436.57,1.05,2.35,77.3,2.2,2.24,0.14,0.0,0.03,-0.04,0.32,-62.6,88,,,,23.47,122.92,2.78,28.24,40.19,57.27,35.44,9.99,2.46,0.89,73.73,53.72,58.84,50.63,51.7,1195.48,8.67,78.03,0.2,1.97,0.0,0.0,0.11,0.0,0.0,1.16,15.75,B,B2,B-,
1993,9.42,5.44,2189.53,1.37,3.2,22.1,2.4,2.11,0.08,0.0,-0.18,-0.38,0.42,36.91,88,10.51,0.57,,21.33,105.0,2.21,25.26,30.12,44.48,28.34,7.38,2.48,0.95,73.92,51.45,54.03,50.0,50.33,1187.69,4.29,78.84,0.22,3.38,0.0,0.0,0.09,0.0,0.0,1.17,16.32,B,B2,B-,
1994,1.38,5.45,2173.17,1.32,3.64,35.1,3.03,3.05,0.08,,0.08,-0.03,0.74,-18.4,88,9.31,0.51,,21.1,121.17,1.88,24.23,26.8,43.03,31.84,12.09,2.51,0.98,74.05,53.05,57.45,50.22,51.48,1199.08,4.43,79.64,0.24,4.28,0.0,0.0,0.11,0.0,0.0,1.19,15.34,B,B2,B-,
1995,2.35,6.58,2596.01,1.66,4.59,19.9,3.37,3.71,0.1,,-0.1,-0.34,0.68,-10.2,88,10.0,0.66,,21.74,114.51,2.52,25.26,25.57,42.98,30.61,9.29,2.53,0.98,74.13,58.54,56.78,63.6,55.26,1263.82,2.49,80.44,0.22,5.27,0.0,0.0,0.1,0.0,0.0,1.19,16.23,B,B2,B-,
1996,-0.11,7.39,2889.78,1.89,5.16,26.4,3.35,3.88,0.14,,-0.14,-0.54,0.88,13.9,88,11.92,0.88,,20.11,62.41,0.24,25.55,15.83,44.3,31.68,11.78,2.56,0.98,74.17,55.29,55.82,52.12,57.92,1318.96,2.81,85.71,0.23,5.46,0.0,0.0,0.1,0.0,0.0,1.19,16.01,B,B2,B-,
1997,-1.14,8.4,3250.9,2.16,5.77,9.7,3.41,4.07,0.16,,-0.33,-0.67,0.68,0.4,88,13.48,1.13,,19.91,76.28,-1.64,25.7,9.17,47.59,30.99,12.52,2.58,0.98,74.17,55.31,55.06,52.41,58.46,1305.96,2.14,82.03,0.24,5.65,0.0,0.0,0.11,0.0,0.0,1.2,16.35,B,B2,B-,
1998,-2.33,8.79,3368.19,1.99,6.18,8.6,3.38,4.05,0.32,0.0,-0.33,-0.65,0.71,31.6,88,14.68,1.29,,20.85,23.1,-1.21,22.6,7.85,47.81,34.15,10.78,2.61,0.96,74.16,56.01,54.23,52.64,61.15,1344.28,1.85,82.82,0.22,5.89,0.0,0.0,0.11,0.0,0.0,1.19,15.5,B,B2,B-,
1999,1.05,8.89,3375.68,1.89,6.34,6.0,3.47,4.02,0.47,0.0,-0.22,-0.53,0.55,-16.2,88,13.56,1.21,82.75,21.89,-17.23,0.98,21.26,6.78,48.31,36.26,12.4,2.63,0.91,74.15,56.33,54.64,52.79,61.54,1369.31,1.47,84.55,0.22,6.01,0.0,0.0,0.12,0.0,0.0,1.2,15.74,B,B2,B-,
2000,0.88,9.01,3392.12,2.11,6.71,8.2,3.49,4.57,0.42,0.0,-0.37,-0.84,1.05,20.9,88,13.96,1.26,91.81,22.49,14.13,0.78,23.46,5.96,40.28,38.63,13.06,2.65,0.83,74.14,57.81,57.29,53.47,62.68,1436.43,1.5,84.39,0.22,6.0,0.0,0.0,0.11,0.0,0.0,1.21,15.54,B,B2,BBB ,
2001,1.34,9.19,3437.66,2.38,6.76,6.8,3.27,4.53,0.58,0.0,-0.76,-1.24,1.9,-39.8,88,14.26,1.31,108.0,21.41,58.9,1.28,25.88,8.55,52.13,41.55,28.6,2.67,0.75,74.14,57.58,58.69,53.09,60.97,1430.14,1.52,87.71,0.14,6.12,0.0,0.0,0.06,0.0,0.0,1.21,14.93,B,B2,BBB ,
2002,2.0,9.72,3609.2,2.66,7.22,7.1,3.18,4.77,0.44,0.0,-1.07,-1.56,1.65,-79.87,88,14.73,1.43,118.41,21.86,28.53,0.68,27.34,7.23,49.09,42.01,27.28,2.69,0.68,74.14,57.95,58.02,52.37,63.45,1324.66,1.11,86.68,0.12,6.4,0.0,0.0,0.09,0.0,0.0,1.22,14.19,B+,B2,BBB ,
2003,3.67,9.43,3480.51,2.48,7.02,10.1,3.45,4.86,0.68,0.0,-0.77,-1.39,1.19,12.71,88,14.22,1.34,123.2,24.07,10.55,3.67,26.25,13.84,46.48,45.5,27.15,2.71,0.61,74.14,58.59,57.93,53.51,64.35,1371.58,1.07,86.61,0.15,6.58,0.0,0.0,0.12,0.0,0.0,1.22,11.73,B+,B2,BBB ,
2004,1.32,10.17,3733.8,2.69,7.62,13.6,3.82,5.27,0.56,0.0,-0.5,-1.37,1.85,-33.32,88,12.89,1.31,119.93,24.17,86.75,1.32,26.47,13.71,47.35,42.13,22.12,2.73,0.57,74.15,63.83,60.89,64.6,66.01,1379.41,1.72,87.34,0.2,6.59,0.03,0.0,0.13,0.0,0.0,1.23,12.21,B,B2,BBB ,
2005,0.89,11.24,4103.6,3.03,8.86,15.1,3.97,6.21,0.64,0.0,-1.07,-1.97,2.17,-1.61,88,14.21,1.6,124.66,23.22,43.75,0.89,26.94,12.56,45.67,42.69,21.71,2.74,0.55,74.15,64.05,63.76,65.01,63.4,1355.28,1.98,88.07,0.24,6.75,0.05,0.0,0.15,0.0,0.0,1.24,11.26,B,B2,BBB ,
2006,2.9,11.93,4331.29,3.39,9.33,8.6,4.79,7.23,0.84,0.0,-1.18,-2.32,2.32,70.74,88,13.89,1.66,117.12,24.01,40.7,2.9,28.42,5.66,47.24,43.08,19.64,2.75,0.52,74.14,65.71,65.92,65.81,65.4,1510.6,2.67,88.8,0.26,6.78,0.06,0.0,0.16,0.0,0.0,1.25,10.32,B,B2,BBB ,
2007,1.43,12.8,4623.75,3.4,10.28,9.2,5.09,7.87,0.81,0.0,-2.04,-3.42,1.88,303.28,88,14.89,1.91,114.48,24.79,31.66,1.44,26.57,16.82,47.11,46.33,19.03,2.77,0.5,74.13,66.8,67.44,65.77,67.18,1511.59,2.88,89.53,0.25,5.36,0.05,0.0,0.16,0.0,0.0,1.26,9.75,B,B2,BBB ,
2008,-0.81,13.71,4928.13,3.34,12.22,22.0,5.75,9.82,1.38,0.0,-2.79,-4.37,1.77,-380.54,88,16.21,2.22,127.02,24.68,89.81,-0.82,24.35,16.84,44.2,46.9,16.71,2.78,0.49,74.1,69.01,69.94,66.55,70.53,1265.63,1.95,92.0,0.26,3.74,0.05,0.0,0.16,0.0,0.0,1.27,10.59,B,B2,BBB ,
2009,-4.35,12.12,4335.18,2.55,9.74,9.6,4.18,6.35,0.49,0.0,-1.13,-2.32,2.08,103.07,88,16.54,2.0,141.93,24.96,152.28,-3.41,21.06,10.22,44.76,45.89,17.28,2.8,0.5,74.07,67.28,65.84,66.33,69.67,1080.15,1.29,91.03,0.22,3.83,0.06,0.0,0.14,0.0,0.0,1.28,11.36,B,B2,BBB ,
2010,-1.46,13.22,4704.05,2.67,10.83,12.6,4.14,6.56,0.19,0.0,-0.93,-2.45,2.5,149.48,88,16.12,2.13,141.4,24.28,141.1,-1.44,20.21,11.74,43.68,42.33,15.92,2.81,0.52,74.04,67.19,63.8,67.2,70.58,951.41,1.43,92.2,0.22,3.75,0.05,0.0,0.15,0.0,0.0,1.3,12.37,B,B2,BBB ,
2011,1.73,14.44,5111.47,3.1,12.4,7.6,4.39,7.72,0.17,0.0,-2.06,-3.54,2.28,557.42,88,15.8,2.28,139.46,23.36,41.03,1.43,21.44,6.01,42.55,41.73,14.93,2.83,0.55,74.01,67.46,63.65,68.51,70.21,1009.35,1.73,91.1,0.27,3.75,0.09,0.0,0.15,0.0,0.0,1.31,12.7,B,B2,BBB ,
2012,-0.61,14.81,5209.86,2.95,12.65,6.9,4.47,7.68,0.41,53.87,-1.44,-3.33,2.0,951.11,88,16.28,2.41,143.9,24.33,28.06,-0.5,19.93,8.0,43.67,44.92,15.92,2.84,0.57,74.0,67.31,64.01,68.04,69.86,974.46,1.34,93.1,0.28,3.64,0.11,0.0,0.15,0.0,0.0,1.32,13.93,B,B2,BBB ,
2013,0.52,14.26,4989.73,3.03,12.17,9.3,4.36,7.51,0.54,-13.93,-1.36,-3.18,1.82,499.22,88,15.5,2.21,138.74,24.01,71.59,0.22,21.26,9.47,45.23,44.07,14.27,2.86,0.58,74.01,67.5,63.13,69.07,70.3,1006.7,1.3,93.9,0.26,3.66,0.12,0.0,0.12,0.0,0.0,1.36,15.25,B,B2,BBB ,
2014,0.69,13.9,4834.28,3.12,11.85,8.3,4.34,7.43,0.58,138.13,-1.11,-3.05,2.47,170.28,88,14.52,2.02,137.89,24.05,95.99,0.58,22.47,6.36,44.82,41.37,12.04,2.88,0.57,74.04,67.98,64.35,68.51,71.08,976.86,1.35,93.3,0.29,3.61,0.12,0.0,0.14,0.0,0.0,1.38,13.74,B,B2,BBB ,
2015,0.92,14.19,4907.93,3.03,11.51,3.7,4.25,6.55,0.92,71.83,-0.43,-2.3,2.91,-1118.46,88,13.82,1.96,121.88,24.82,59.07,0.87,21.35,3.66,47.0,41.85,12.02,2.89,0.55,74.1,67.83,64.74,68.11,70.63,,1.27,94.9,0.28,3.61,0.13,0.0,0.13,0.0,0.0,1.4,13.51,B,B2,BBB ,
2016,1.38,14.08,4843.75,3.0,10.94,2.4,4.48,6.28,0.93,33.2,-0.04,-1.84,3.29,337.31,88,13.84,1.95,113.69,26.03,26.85,1.5,21.29,1.73,50.47,44.5,12.48,2.91,0.53,74.18,67.2,64.77,66.43,70.4,,1.22,96.74,0.35,3.77,0.19,0.01,0.12,0.0,0.0,1.45,13.19,B,B2,BBB ,
2017,1.0,14.81,5070.1,3.34,11.59,4.4,5.13,7.24,0.89,251.27,-0.4,-2.36,3.78,-1057.92,88,13.38,1.98,101.22,26.22,61.55,0.68,22.53,5.24,52.39,52.08,11.35,2.92,0.5,74.27,66.97,64.75,65.67,70.49,,1.35,97.61,0.51,3.63,0.29,0.04,0.15,0.0,0.0,1.48,11.63,B,B2,BBB ,
2018,1.89,15.73,5359.99,3.67,11.97,3.7,6.07,8.09,0.77,180.98,-0.24,-2.1,3.53,-1152.77,88,13.44,2.11,94.39,26.78,100.21,1.83,23.31,2.44,53.79,54.07,11.63,2.93,0.48,74.37,62.2,61.4,55.87,69.33,,1.46,98.49,0.54,3.62,0.3,0.05,0.18,0.0,0.0,1.47,9.1,B,B2,BBB ,
2019,0.89,15.83,5369.5,3.84,12.06,3.9,6.02,8.24,0.67,257.16,-0.36,-2.34,3.63,-204.84,88,13.58,2.15,94.26,27.45,127.07,0.97,24.27,6.22,56.5,58.32,10.1,2.95,0.46,74.47,61.05,58.37,55.57,69.23,,0.14,99.37,,3.7,0.27,0.05,,0.0,0.0,1.5,7.69,BB+,B2,BBB ,
2020,-10.0,13.81,4664.53,3.37,10.52,5.2,5.23,7.19,,260.75,-0.04,-2.55,3.94,-115.72,88,13.58,1.88,108.07,,,-10.05,19.18,5.18,71.71,68.92,,2.96,0.44,,,,,,,,100.0,,,0.27,0.05,,,0.0,1.46,9.48,BB+,B2,BBB ,
1976,3.97,586.16,5197.62,196.58,299.79,9.4,76.18,72.27,0.11,,,,18.59,,89,14.73,86.34,,,,,,,127.12,150.67,,112.78,1.07,75.46,51.8,33.14,65.73,56.54,2876.7,0.25,,,,,,,,,,,AAA,Aaa,A,
1977,4.39,721.41,6335.29,234.4,370.19,8.2,90.57,79.89,0.02,-780.0,,,25.91,,89,14.69,105.96,,,,,,,129.73,153.71,,113.87,0.97,75.9,51.97,33.26,66.13,56.52,2899.68,0.2,,,,,,,,,,,AAA,Aaa,A,
1978,5.27,1013.61,8820.69,329.96,520.17,4.2,108.05,91.91,0.01,-810.0,,,37.82,,89,14.44,146.38,,,,,,,134.79,158.94,,114.91,0.91,76.04,54.14,35.29,70.57,56.56,2897.96,0.15,,,,,,,,,,,AAA,Aaa,A,
1979,5.48,1055.01,9103.56,361.05,551.05,3.7,117.0,127.18,0.24,330.0,,,31.93,,89,14.49,152.91,,,,,,,138.23,163.51,,115.89,0.85,76.34,54.47,36.12,70.56,56.73,3043.53,0.23,,,,,,,,,,,AAA,Aaa,A,
1980,2.82,1105.39,9463.35,375.36,578.68,7.8,145.1,155.87,0.28,6550.0,,,38.92,,89,14.66,162.1,,,,3.18,35.01,7.24,139.81,167.42,50.66,116.81,0.79,76.09,54.52,36.65,70.17,56.74,2949.5,0.16,,88.88,381.6,0.0,0.0,87.78,78.64,1.09,,,AAA,Aaa,A,
1981,4.21,1218.99,10360.18,399.33,633.18,4.9,172.13,164.66,0.19,5920.0,,,37.84,,89,14.68,179.0,,,,4.21,33.82,4.05,145.7,172.03,52.67,117.66,0.73,76.41,54.74,37.36,69.98,56.89,2864.05,0.12,,87.92,378.07,0.0,0.0,87.08,82.92,0.85,,,AAA,Aaa,A,
1982,3.31,1134.52,9575.61,358.47,601.93,2.7,157.93,151.71,0.44,2550.0,,,34.4,,89,14.8,167.9,,,,3.31,32.58,2.44,151.49,180.43,56.3,118.48,0.69,76.92,55.52,39.03,70.31,57.22,2839.87,0.15,,90.51,368.02,0.0,0.0,80.8,94.97,1.2,,,AAA,Aaa,A,
1983,3.52,1243.32,10421.21,374.53,665.07,1.9,165.33,146.25,0.42,6130.0,,,33.84,,89,14.85,184.65,,,,3.52,31.15,1.65,157.27,188.67,60.47,119.31,0.7,76.96,55.76,39.25,70.6,57.44,2822.74,0.1,,94.3,387.52,0.0,0.0,83.44,105.24,1.36,,,AAA,Aaa,A,
1984,4.5,1318.38,10978.92,396.31,697.25,2.3,189.76,157.51,-0.01,-3610.0,,,33.9,,89,14.61,192.57,,,,4.5,30.94,2.3,159.97,192.97,62.23,120.08,0.65,77.37,56.03,39.73,70.85,57.52,3016.18,0.07,,84.65,407.78,0.0,0.0,72.68,127.0,1.28,,,AAA,Aaa,A,
1985,5.23,1398.89,11576.69,419.83,734.7,2.0,194.35,149.72,0.61,-668.23,,,34.64,,89,14.28,199.73,,,,5.23,30.88,1.65,163.25,197.71,63.12,120.84,0.63,77.65,56.45,40.45,71.14,57.76,3003.17,0.08,,94.69,395.25,0.0,0.0,82.11,149.66,1.41,,,AAA,Aaa,A,
1986,3.33,2078.95,17113.26,623.08,1084.39,0.6,226.86,150.49,0.24,-15707.44,,,51.73,,89,14.2,295.11,,,,3.33,30.84,-0.23,169.77,206.39,66.4,121.48,0.53,78.06,56.53,40.62,71.03,57.94,3020.81,0.05,,93.75,393.08,0.0,0.0,80.02,158.78,1.31,,,AAA,Aaa,A,
1987,4.73,2532.81,20748.99,783.73,1321.34,0.1,251.7,181.58,1.18,-43549.86,,,92.7,,89,14.12,357.62,,,,4.73,31.95,0.75,177.66,217.62,64.2,122.07,0.48,78.48,56.68,41.55,70.31,58.18,3044.66,0.04,,88.72,419.68,0.0,0.0,74.03,188.6,1.33,,,AAA,Aaa,A,
1988,6.79,3071.68,25059.01,1015.14,1575.23,0.7,294.1,233.78,-0.48,6822.08,,,106.67,,89,13.71,420.99,,,,6.79,34.04,1.06,180.36,223.41,63.04,122.58,0.42,78.4,56.27,42.05,68.56,58.18,3243.6,0.03,,105.86,449.05,0.0,0.0,89.93,173.9,1.29,,,AAA,Aaa,A,
1989,4.86,3054.91,24822.78,1034.41,1564.54,2.3,308.91,267.62,-1.06,6946.39,,,93.67,,89,13.57,414.68,,,,4.86,34.83,2.6,186.96,228.37,61.19,123.07,0.4,78.82,56.3,43.28,66.91,58.71,3352.01,0.04,,107.81,483.83,0.0,0.0,90.83,174.52,1.3,,,AAA,Aaa,A,5.52
1990,4.89,3132.82,25371.46,1081.15,1602.96,3.1,320.17,295.83,1.81,-13356.58,,,87.83,,89,13.55,424.36,,,,4.89,35.59,3.62,185.62,226.7,56.61,123.48,0.33,78.84,56.56,43.53,66.84,59.32,3552.86,0.04,100.0,100.67,523.99,0.0,0.0,88.41,192.16,1.74,63.84,,AAA,Aaa,A,6.45
1991,3.42,3584.42,28915.01,1226.77,1816.49,3.3,350.77,297.07,1.28,46619.11,,,80.63,,89,13.6,487.46,,13.13,,3.42,35.27,2.8,184.06,224.74,55.96,123.96,0.39,79.1,57.35,42.96,70.34,58.75,3574.01,0.03,100.0,109.14,533.22,0.0,0.0,96.52,202.79,1.77,65.04,2.1,AAA,Aaa,AA ,5.72
1992,0.85,3908.81,31414.98,1269.95,2011.46,1.8,378.84,298.54,2.76,8878.27,,,79.7,,89,14.0,547.1,,11.63,,0.85,33.58,0.98,185.42,230.2,58.09,124.43,0.37,79.15,60.82,42.69,80.21,59.56,3644.19,0.02,100.0,94.62,545.75,0.0,0.02,81.72,212.1,1.79,65.96,2.2,AAA,Aaa,AA ,4.85
1993,-0.52,4454.14,35681.96,1366.49,2341.12,1.2,404.34,308.94,0.21,19856.82,,,107.99,,89,14.62,651.13,,11.59,,-0.52,31.77,1.1,193.53,236.86,62.01,124.83,0.32,79.29,61.43,42.38,81.68,60.22,3655.97,0.02,100.0,107.37,517.17,0.0,0.03,94.63,236.79,1.78,66.34,2.5,AAA,Aaa,AA ,3.4
1994,0.99,4998.8,39933.52,1532.26,2635.86,0.7,441.89,348.44,0.89,48947.14,,,135.15,,89,14.75,737.24,,,,0.88,30.65,0.81,195.46,237.05,65.14,125.18,0.28,79.69,61.77,42.66,81.28,61.36,3844.29,0.02,100.0,80.26,580.42,0.0,0.03,66.59,255.67,2.06,66.61,2.9,AAA,Aaa,AA ,4.56
1995,2.63,5545.56,44197.62,1715.44,2924.94,-0.1,488.92,420.0,0.04,50597.02,,,192.62,,89,15.08,836.26,,,,2.63,30.93,-0.58,199.38,239.47,68.7,125.47,0.23,79.54,59.05,42.45,71.98,62.7,3934.96,0.02,100.0,97.11,567.96,0.0,0.05,81.3,276.69,3.17,66.86,3.2,AAA,Aaa,AA ,2.98
1996,3.13,4923.39,39150.04,1576.81,2582.29,0.1,458.65,440.06,-0.04,49449.94,68.99,21.31,225.59,647.34,89,15.15,745.69,,,,3.13,32.03,0.53,201.66,240.88,71.19,125.76,0.23,80.2,63.15,44.22,81.35,63.88,4008.48,0.02,100.0,96.72,577.17,0.0,0.06,79.71,287.09,3.67,67.37,3.4,AAA,Aaa,AA ,2.6
1997,0.98,4492.45,35638.23,1397.62,2363.2,1.7,466.48,422.28,2.49,27001.42,95.46,47.45,226.68,34365.13,89,15.3,687.43,,,,0.98,31.11,2.08,209.73,205.02,24.11,126.06,0.24,80.42,64.69,46.58,82.36,65.12,4041.17,0.02,100.0,107.43,577.7,0.0,0.1,88.9,306.22,3.76,67.98,3.4,BB,Aaa,AA ,1.94
1998,-1.27,4098.36,32423.76,1212.74,2172.1,0.7,425.16,353.66,2.51,16114.55,114.69,72.97,222.44,3666.2,89,15.67,642.03,,,,-1.27,29.59,0.54,219.95,216.21,28.41,126.4,0.27,80.5,66.02,48.21,82.45,67.41,3955.63,0.01,100.0,110.19,571.35,0.01,0.14,91.59,315.73,3.53,68.04,4.1,BB,Aaa,AA ,1.49
1999,-0.33,4635.98,36610.17,1307.37,2507.94,-0.3,454.58,385.72,14.78,103886.21,114.13,69.16,293.95,17685.56,89,16.22,751.81,,,,-0.33,28.2,-1.01,229.14,221.98,34.67,126.63,0.18,80.57,66.64,49.18,82.22,68.53,4011.22,0.01,100.0,104.7,596.22,0.04,0.22,85.55,300.79,3.45,67.83,4.7,BB,Aaa,AA ,1.77
2000,2.76,4968.36,39169.36,1411.88,2666.46,-0.7,519.86,452.06,10.69,-1285.97,130.69,69.09,361.64,16944.92,89,16.55,822.22,,,,2.77,28.42,-0.77,229.73,225.33,44.35,126.84,0.17,81.08,67.65,50.99,82.49,69.46,4083.83,0.01,100.0,125.4,583.13,0.11,0.35,86.38,305.95,3.35,67.65,4.75,BB,Aaa,AA ,1.62
2001,0.39,4374.71,34406.18,1214.2,2380.81,-0.7,440.83,414.85,4.93,39100.78,86.22,26.48,401.96,3673.15,89,17.23,753.72,,,,0.39,27.76,-0.91,187.86,145.46,40.83,127.15,0.24,81.42,68.21,51.2,82.83,70.59,4008.27,0.01,100.0,122.92,570.14,0.25,0.48,83.32,303.86,3.43,67.6,5.02,BB,Aaa,AA ,1.33
2002,0.04,4182.85,32820.79,1083.31,2303.18,-0.9,454.07,401.21,11.56,-16689.55,108.86,51.6,469.62,360.11,89,17.77,743.5,,,,0.04,25.9,-0.54,192.57,141.96,44.72,127.45,0.23,81.56,68.89,49.85,85.34,71.47,3991.98,0.01,100.0,122.75,611.2,0.41,0.67,81.55,280.34,3.37,67.17,5.39,BB,Aaa,AA ,0.98
